input	output
all authors have read and agreed to the published version of the manuscript. fundingthe research project “ dynamic monitoring of bridge structures ”, mentioned in section 9, is co - financed by the polish national agency for academic exchange ( grant number : ppn / bil / 2018 / 1 / 00235 / u / 00001 ). institutional review board statementnot applicable. informed consent statementnot applicable. data availability statementthe data presented in this study are available on request from the corresponding authors. conflicts of interestthe authors declare no conflict of interest. figure 1 aerial view of the redzinski bridge ( photo : władysław kluczewski ). figure 2 main properties of the redzinski bridge [ 7 ]. figure 3 the structural health monitoring ( shm ) system scheme [ 6 ]. figure 4 the fem models : ( a ) the general bridge model ; ( b ) a detailed single strand model. figure 5 ( a ) the bridge during loading test [ 10 ] ; ( b ) fem model loaded ; ( c ) corresponding loading deck nodes displacements in mm. figure 6 the diagrams in the longest cable lw - 40 : ( a ) force diagram ; ( b ) temperature diagram. figure 7 annual extreme temperature chart at selected points in the structure. figure 8 strand loading scheme : δt — uniform temperature change ; di, j — theoretical anchorages displacements. figure 9 daily strands temperature change ( 1 august 2017 ). figure 10 daily force course in single strands of cables lz - w16, lz - w18 and lz - w20 ( 1 august 2017 ). figure 11 force diagram in the middle - length cables lz - w12 and lw - w12 with selected maximum force peaks in 2017. figure 12 influence line of tension force for cables lz - w12 and lw - w12. figure 13 screenshots from the moving vehicle on the fem bridge model. figure 14 ( a ) node displacements for 3 measuring points on one span, magenta line : deck point under the longest cables w40, dark blue line : deck point under the medium – long cables w32, brown line : deck point under the shortest cables w21 ; ( b ) tension force in the whole cables w12, red line : outer deck cable, green line : inner deck cable. figure 15 ( a ) deck accelerations near the cable w - 32 anchorages registered by the shm system ; ( b ) vertical acceleration in the middle span deck point (	positive
however, it is plausible that the effects of hiv on host immune homeostasis and other oncogenic pathways may be permanent.	positive
they also support the high value of screening mothers and newborns in high - risk populations for hiv infection [ 35, 36 ]. moreover, our results show that the relative risk of cancer in children with hiv is highest in the early years of life or infection.	positive
in the case of lymphoma, this is a heterogenous group of cancers that particularly differ in immunophenotype depending on host immune status [ 42 ].	negative
the effect of haart and calendar period on kaposi ’ s sarcoma and non - hodgkin lymphoma : results of a match between an aids and cancer registry aids 2011 25 463 471 10. 1097 / qad. 0b013e32834344e6 21139489	positive
this article is an open access article distributed under the terms and conditions of the creative commons attribution ( cc by ) license ( http : / / creativecommons. org / licenses / by / 4. 0 / ). magnesium - based batteries represent one of the successfully emerging electrochemical energy storage chemistries, mainly due to the high theoretical volumetric capacity of metallic magnesium ( i. e., 3833 mah cm−3 vs. 2046 mah cm−3 for lithium ), its low reduction potential ( −2. 37 v vs. she ), abundance in the earth ’ s crust ( 104 times higher than that of lithium ) and dendrite - free behaviour when used as an anode during cycling.	positive
fossil fuels must be replaced by clean energy sources, which does not involve greenhouse gas emissions, and a significant amount of attention is paid towards renewable energy solutions.	negative
it is, therefore, clear that, in order to reach a correct integration of renewables, a way to store energy when in excess and to use it when needed is necessary [ 35, 36, 37, 38, 39 ].	negative
unlike lithium [ 141, 142, 143, 144, 145 ], plating magnesium from organohalo - aluminate electrolyte does not involve dendrites formation.	negative
the gravimetric capacity theoretically achievable is also high, about 385 mah g−1, hypothesizing the transfer of six electrons and the formation of the alloy according to the following reaction [ 159 ] : 2bi + 3 mg2 + + 6 e− → mg3bi2 ( 1 ) an interesting superionic conductivity of magnesium ions in β - mg3bi2 has been shown [ 160 ].	negative
this was possibly due to a poor insertion kinetics of the tin anode, even though the coulombic efficiency seemed to increase with the charge – discharge rate.	positive
figure 10a schematically shows the increased grain boundaries and magnesium ions transport channels on the atomic scale that is possible to obtain after the first cycle in a dual - phase bismuth – tin electrode.	negative
galvanostatic discharge / charge profiles of the np - bismuth and alloy electrodes ( at a current density of 50 ma g−1 ) and of np - tin sample ( at 20 ma g−1 ) within the voltage range of 0 – 0. 8 v vs. mg2 + / mg ( figure 10e ) showed that np - bi6sn4 and np - bi4sn6 electrodes managed to deliver high values of discharge specific capacities equal to 434 and 482 mah g−1, respectively.	positive
although the investigated dual - phase bismuth – tin alloys cannot be considered as a definitive solution, they anyway indicate an important field of research that may lead to the development of an advanced electrode material in the future. future perspectives in this field could pass through two materials classes that are leading to noteworthy results in the energy storage field.	positive
copyright elsevier b. v., 2018. figure 11 ( a ) rate performance for np - bismuth and alloy electrodes ; ( b ) discharge / charge profiles for np - bi6sn4 electrode at different current densities ; ( c ) cycling stability of np - bismuth and alloy electrode at 200 ma g – 1 and of np - tin at 20 ma g – 1 ; ( d ) discharge / charge profiles of np - bi6sn4 electrode for different cycles at 200 ma g – 1 ; ( e ) schematic illustration of the electrochemical reaction mechanisms of alloy electrodes.	positive
market acceptability assessment of electric vehicles based on an improved stochastic multicriteria acceptability analysis - evidential reasoning approach j.	negative
by contrast, altruistic individuals and environmental ethics supporters will engage in pro - environmental behaviors when the benefits are personal and, critically, even if they are solely environmental ( passmore, 1974 ; de dominicis et al., 2017 ). it is worth noting, for ordinary people who are not involved in nimby activities, “ the impact of an individual ' s pro - environmental behavior on its own marginal welfare is rather negligible ” ( hartmann et al., 2017 : 44 ).	positive
our sub - hypotheses were as follows : h1a : altruism positively relates to environmental behaviors at the individual level. h1b : altruism positively relates to environmental behaviors at the organizational level. h1c : altruism positively relates to environmental behaviors at the policy level. environmental concerns and the second hypothesis : the assumption of a moral principlethe assumption of a moral principle, which suggests that environmental behaviors involve moral judgment, partly adheres to the kantian rule of the supreme principle of morality, that “ neither fear nor inclination to the law is the incentive which can give a moral worth to action ; only respect for it can do so ” ( kant, 1959, p. 440 ).	positive
we prepared and distributed the “ consent form for an anonymous survey ” that provided enough information for prospective respondents to decide whether or not to take the survey.	negative
first, the “ scooter ” or “ motorbike ” ( frequently used in this scale ) is not the major means of transportation in china and would need to be revised.	negative
i have bought “ charity ” christmas cards deliberately because i knew it was a good cause.	positive
it is not only because the items described the prosocial activities, but also because the relationship between altruism and prosocial attitude has been long discussed ( schwartz, 1972 ; batson, 1987 ).	positive
political status 100 500 human domination factor 55. 63 13. 68 544 cpc member 23. 60 118 eco - crisis factor 59. 09 17. 12 544 non - cpc member 76. 40 382 balance of natural factor 57. 21 18. 35 544 education level 100 567 independent variable : altruism junior secondary and below 25. 75 146 prosocial behavior factor 56. 46 18. 25 325 senior secondary 25. 93 147 sympathetic behavior factor 41. 20 18. 20 325 college or university 44. 78 254 social responsibility factor 62. 51 19. 15 325 postgraduate and above 3. 53 20 social donation factor 51. 68 16. 76 325 personal monthly income 100 526 category variable percent % sample size 0 – 1, 999¥ 34. 03 179 gender 100 558 2, 000 – 3, 999¥ 46. 01 242 male 43. 55 243 4, 000 – 5, 999¥ 11. 79 62 female 56. 45 315 6, 000 – 7, 999¥ 4. 37 23 ≥8, 000¥ 3. 80 20 we used the following formula to convert these factors into an index between 1 and 100 :. convert factor = ( factor + b ) • a. a = 99 / ( maximum factor - minimum factor ). b = ( 1 / a ) - minimum factor. environmental concern : a chinese version of the new environmental paradigmchinese scholars have translated major scales, including the new environmental paradigm ( dunlap and van liere, 1978 ), the environmental concern scale ( schultz and zelezny, 1998, 1999 ), and the nep ( dunlap et al., 2000 ) and suggested modifying them to better suit chinese culture and society ( chung and poon, 1999 ; hong, 2006 ; xiao and hong, 2007 ; liu and wu, 2012 ; hong et al., 2014 ).	negative
in this regard, the volunteer participation could be categorized into the action at the “ organizational level. ” however, clearly, the notion of volunteering embodies a set of values, such as altruism that emphasize an action taken by personal choice and without expectation of pay ( dunn, 1995 ; xu, 2017 ).	positive
the descriptive statistics of the variables in this study are shown in table 2.	negative
however, as model a4 has shown, when the altruism variables were included, balance of nature dimension becomes non - significant, while the effect of other dimensions remains unchanged.	negative
the effect is still significant when adding environmental concern variables.	negative
young adults and middle - aged groups showed less participation in policy - level pro - environmental behaviors than the elderly group : for example, in model c1, the young adults and middle - aged groups had lower scores than elderly people by differences of 7. 37 and 7. 13, respectively.	positive
it can be seen that environmental concerns mainly affected individual and organizational pro - environmental participation, not policy participation.	negative
this is consistent with previous studies ( cai et al., 2018 ) and may be due to the fact that the cpc, as the ruling party, not only often asks members to play a leading / exemplary role in their work and in society, but also holds regular party meetings to disseminate certain policies and information.	positive
this may be due to the fact that social donations are the most easily - accessible environmental activities for people to participate in at the organizational level in mainland china. in summary, although it seems that the self - interested nimby movement is more likely to attract attention ( yang, 2005 ; li et al., 2012 ), our empirical research here shows that altruism and awareness of the ecological crisis can promote people ' s engagement in pro - environmental behaviors in china.	positive
values as predictors of environmental attitudes : evidence for consistency across cultures.	negative
study on college students ' implicit altruism with different experiment material.	negative
figure 5a shows huvec inside pet microchip after 4 h of cell injection and after 24 h of perfusion of rpmi - 1640 culture medium using a syringe pump at 2 µl min−1, it can be observed that a confluent elongated shape, excellent cell proliferation and filled the microchannel.	positive
the result shows that huvec can adhere, proliferate and survive inside of a designed microchip. 3. 2.	negative
figure 7e, f show the huvec proliferation in polystyrene substrate.	negative
conclusionsin this study, considering the practicality of a co2 laser cutter to cut polymeric materials, we developed two simple and cost - effective techniques : lamination and the stacking of biocompatible double - sided adhesive, to fabricate several microchips with a single straight microchannel.	positive
scale bar = 200 µm. figure 6 biocompatible adhesive microchips made of different top - bottom materials : ( a ) glass - glass ; ( b ) coverslip - glass ; ( c ) glass - permanox® ; ( d ) polyester - permanox® ; ( e ) glass - polystyrene ; ( f ) polyester - polystyrene ; ( g ) frontal and lateral section dimensions of biocompatible adhesive microchips illustrating the length ( 30 mm ), the height ( 0. 14 mm ) and the width ( 2 mm ) of the channel. figure 7 huvec ( 5 × 106 cells ml – 1 ) proliferation after 4 h and 24 h of incubation at 37 °c with rpmi - 1640 culture medium flow rate at 2 µl min−1 in the microchannel of biocompatible double - sided adhesive microchips made with top - bottom layers : ( a ) glass slide - glass slide, ( b ) coverslip - glass slide, ( c ) glass slide - permanox®, ( d ) polyester - permanox®, ( e ) glass - polystyrene slide, ( f ) polyester - polystyrene slide.	negative
in this context, the recent discovery of a noticeable catalytic activity of the high - entropy oxide ( heo ) mg0. 2co0. 2ni0. 2cu0. 2zn0. 2o, which has a rock - salt structure, toward the co oxidation reaction10 is quite surprising, as all the cations are formally in the m ( ii ) oxidation state.	positive
we cannot detect any change at the ni and co l2, 3 edges, as shown in figure 2, which displays the ni and co l2, 3 - edge xas spectra under conditions similar to those at the cu l2, 3 edge shown in figure 1.	negative
rock - salt cuo can indeed be prepared in the form of nanoparticles, which in turn showing a lower reactivity toward reducing gases compared with the monoclinic polymorph. 22 for nanoparticles, additional terms in the gibbs free energy result from surface or interfacial contributions.	positive
however, histopathological analysis is crucial to confirm the grade and prognosis related to this disease. keywordsneuroendocrinelow grade68ga - dota petctin vivomismatchpancreatic tumorissue - copyright - statement© the author ( s ) 2021 = = = = bodyintroductionneuroendocrine tumors ( net ) are defined as epithelial neoplasms with predominant neuroendocrine differentiation and can arise in almost any organ of the body ( kaewput et al.	positive
b 68ga - dotatoc shows the same nodule in the uncinate process of the pancreas with low somatostatin receptor expression ( suvmax 9. 2 ), poorly characterized in the image without contrastwhen compared to the previous magnetic resonance ( mr ) and fdg - pet with higher glycolytic metabolism, this set of information supported the diagnosis of poorly differentiated / high - grade neuroendocrine carcinoma.	positive
lpp - deficient s. aureus strains exhibited smaller lesion size and reduced bacterial loads than their parental strains ; the altered phenotype in bacterial loads was tlr2 - independent.	positive
of note, the pace of infections caused by s. aureus is rapidly increasing and the emergence of antibiotic - resistant bacterial strains, such as methicillin - resistant s. aureus ( mrsa ) has severely reduced the available treatment options3, 6. during staphylococcal skin infection, microbe - associated molecular patterns ( mamps ) of s. aureus are recognized by pattern recognition receptors ( prrs ), leading to activation of the host defense system7.	positive
even with lower bacterial doses the sa113 parental strain gave rise to more severe skin lesions and tended to exhibit higher bacterial burden in contrast to its sa113δlgt mutant strain ( supplementary fig. 2 ).	positive
indeed, leukocyte depletion in mice with cyclophosphamide treatment fully abrogated the s. aureus lpp - induced effect in skin infection ( fig. 6 ).	positive
statistical evaluations were performed using the mann – whitney u test, with data expressed as the mean ± standard error of the mean ( a, c ), or presented as scatterplot with line indicating median value ( b, d ).	negative
our data show that lpp - deficient s. aureus displayed less virulence and was more susceptible to immune killing than its parental strain in the skin infection model.	positive
the clinical outcome of an infection is, therefore, an overall result of these double effects induced by lpp.	negative
all these evidence suggest that lpp has some other unknown biological functions that contribute to the bacterial survival and persistence of skin infection. the importance of a balanced coagulation / fibrinolysis hemostasis in s. aureus infections has been shown before41.	positive
in particular, wnt signaling is associated with the determination of tooth number, shape, and hard tissue formation ; whereas cellular behavior, such as proliferation, apoptosis, differentiation, and migration of cells, is regulated by fgf, shh, and bmp signaling ( liu et al., 2008 ; balic and thesleff, 2015 ).	positive
functional studies conducted on different mirnas highlight their roles during tooth morphogenesis.	negative
during bud stage, the expression of mirna - 221 - 3p was restricted along the invaginated epithelium ( figure 1c ) with intense expression noted along the enamel knot ( ek ), iee, outer enamel epithelium ( oee ), and dental papilla ( dp ) at cap stage ( figure 1d ).	negative
*, * *, * * *, and * * * * indicate p < 0. 05, 0. 01, 0. 001, and 0. 0001, respectively.	negative
this suggests that bmp signaling would be indirectly affected when the levels of mirna - 221 - 3p are altered.	negative
in quiescent state, ptch1 suppress the smoothened which in turn controls the gli transcriptional effectors in the repressive forms.	positive
mir - 145 and mir - 143 regulate odontoblast differentiation through targeting klf4 and osx genes in a feedback loop.	negative
functional role of rho - kinase in ameloblast differentiation.	negative
however, these nonselective mkis demonstrated limited response durability and off - target side effects in nsclc patients [ 8 ].	negative
moreover, the resistance mechanism of solvent front mutations to selective inhibitors is not yet reported in the literature [ 14 ].	negative
these results imply that compounds such as db07194, db03496, and db11982 exhibit better biological activities than pralsetinib. 3. 5.	negative
it is interesting to note that the obtained results correlate well with our initial findings.	negative
these observations demonstrated that the predicted hits showed a higher number of h - bonds than the reference drug during simulation.	negative
the deep energy basin observed during the md simulation process indicates the high stability of the complex system, while the shallow basin denotes the lower stability of the complex.	positive
guillaume cartron, md, phd, of the department of hematology, montpellier university hospital, provided critical review of the manuscript and constructive suggestions.	negative
although speculative, these hypotheses could also explain the lower incidence of cervical cancer observed. strengths and limitationsthis study has strengths.	positive
older people with high social support also show greater adherence to healthier patterns of diet [ 18, 19 ] and physical activity [ 20 ], leading to a possible positive feedback loop between these three components.	positive
in order to minimize reverse causality, we first excluded 1307 individuals ( 38. 9 % ) with walking speed < 0. 8 meters per second ( m / s ) or five chair stands > 17 seconds ( s ) at baseline according to established cutoffs [ 24, 25 ] ( additional file 1 ).	negative
higher walking speed ( m / s ) and lower chair stands ( s ) scores indicate better mobility and strength, respectively.	positive
in addition, those with high levels in both adherence to md and physical activity showed the slowest decline in walking speed compared to the other groups, beyond the independent protective effect of both exposures ( β * time [ year ] = 0. 010, p = 0. 001 for high / high vs low / low categories ).	positive
the health, aging and body composition study ( health abc ) including a racially diverse sample from the us showed that over eight years of follow - up, older individuals aged > 70 years with a high adherence to md had significantly faster walking speed tests [ 33 ].	positive
furthermore, a high adherence to md has shown to reduce the rates of ischemic stroke and cardiovascular diseases by increasing hdl levels, promoting antioxidant effects and reducing inflammation and systemic hypoperfusion [ 47 ].	positive
in addition, other aspects of social well - being ( e. g., neighborhood social cohesion ) were not explored.	negative
killing was restricted to phagocytic host cells, and the former p. zopfii genotype 1 ( raised to p. ciferrii [ 1 ] ) could not kill these cells, suggesting that specific host - directed toxin ( s ) may be important for the virulence of p. bovis. one possibility is that, rather than bespoke virulence factors, prototheca may exploit environmental adaptations for “ accidental virulence, ” as has been proposed for other eukaryotic pathogens [ 23 ].	positive
this article is an open access article distributed under the terms and conditions of the creative commons attribution ( cc by ) license ( https : / / creativecommons. org / licenses / by / 4. 0 / ). nasal polyps ( nps ) are benign inflammatory masses causing chronic nasal obstruction, usually associated with underlying chronic rhinosinusitis ( crs ), which are rarely reported in childhood.	negative
nasal polyps : definition, epidemiology, and diagnostic approachnps are benign inflammatory single or multiple masses potentially arising from any portion of the mucosa of the nose and paranasal sinuses, causing chronic nasal obstruction [ 4, 5 ].	positive
in adults, an altered sense of smell and taste is also commonly reported, while in children, such disorders cannot always be assessed due to both the limited feasibility of available diagnostic tools and the delayed awareness of olfactory impairment [ 14, 15 ].	positive
many studies have shown that in most cases of pediatric crs, it is possible to isolate the same bacterial colonies from swabs taken from the crypts of the adenoids and from the lateral wall of the nose ( mostly staphylococcus aureus, streptococcus pneumoniae, haemophilus influenzae, and group a streptococci ) [ 32, 33, 34 ].	negative
currently, three different types of inflammatory patterns have been detected in adults with crs : ( i ) type 1 inflammation, originally directed toward intracellular pathogens, is characterized by a predominance of ifn - γ and tnf - alpha secretion ; ( ii ) type 2 inflammation, targeting extracellular parasites, is characterized by a predominance of il - 4, il - 5, and il - 13 secretion ; and ( iii ) type 3 inflammation, targeting extracellular bacteria and fungi, is dominated by il - 22 and il - 17 secretion.	negative
however, while the link between ar and asthma has been elucidated, reporting that about 40 % of patients with ar have concomitant asthma and that 30 – 80 % of asthmatics have ar, the same is not true for ar and crs.	positive
in childhood, asthma mostly belongs to an allergic eosinophilic phenotype, characterized by a personal and / or family history of atopy and the presence of type 2 inflammation markers [ 66, 67 ].	negative
treatment of nasal polyps : the new era of biological agentsappropriate medical therapy with nasal irrigation with saline and intranasal corticosteroids is the first - line medical treatment both in pediatric and adult crs with or without nps [ 1, 82 ], while antibiotics and systemic steroids are used only in case of exacerbation ; there is a lack of supportive evidence for prolonged macrolide therapy in children with crs [ 1 ].	positive
activation of the complement system by alta was also confirmed by the increase of c9 deposition on the bacterial cell surface ( figure 7b ), and alta - mediated c9 deposition increased the bactericidal effects ( figure 7c ).	positive
however, these results are not consistent with our previous study using s. aureus - injected mice.	negative
when s. aureus enters the body, it inhibits the activity of the complement system, and when toxins such as s. aureus lta are injected, tissue damage due to excessive complement activity may occur. the negative regulation of tlr signaling is a very important cellular event to maintain homeostasis of the immune system [ 21 ].	positive
for example, alta inhibits lps - induced b cell proliferation in vitro, ex vivo, and in vivo models, but the effect was not observed in the splenocytes from tlr2 - deficient mice, suggesting that tlr2 is involved in alta - mediated signaling [ 30 ].	positive
immunother.	negative
farkas i. baranyi l. ishikawa y. okada n. bohata c. budai d. fukuda a. imai m. okada h. cd59 blocks not only the insertion of c9 into mac but inhibits ion channel formation by homologous c5b - 8 as well as c5b - 9 j. physiol.	positive
any laboratory - confirmed case was included in the study.	negative
similar results were also reported in other studies conducted in srilanka and nepal [ 15, 23 ]. cl is a dermal manifestation commonly caused by various species of leishmania that is transmitted by female sandfly.	negative
the national kala - azar elimination program focuses mainly on early diagnosis and complete treatment, improved case management, effective disease and vector surveillance, social mobilization and partnership, and integrated vector control. until recently, vl was thought to be the major clinical form of leishmania infection in nepal.	positive
these emerging cl cannot be simply overlooked, though more research needs to be carried out to confirm the potential sources of cl, including the molecular profiling of leishmania species in both patients and vectors from cl reported areas.	negative
we believe that through this base - line information, we will be able to recommend the control and elimination program on specific improvements ( additional information ) in the online surveillance system based on the existing scenarios and recommend further operational research on cl in the country. conclusionsthis study has highlighted the issue of an important neglected disease and it is expected that it will draw the attention of the policy makers to formulate protocol for the effective surveillance, management and control of leishmaniasis.	positive
to show the significance of myelin regeneration after sci, the injury was treated with clemastine in the rat model.	negative
the sci model was treated with clemastine and the effect on myelin integrity and neuronal functions was examined.	negative
a significant difference was indicated as * p < 0. 05, * * p < 0. 01 or * * * p < 0. 001. resultsclemastine treatment improves neurobehavioral recovery after compressed spinal cord injury in ratsto test the effects of clemastine on motor behavior in sci, the rats were treated with clemastine at 10 mg / kg per day during sci and the motor function was scored according to the bbb locomotor scale.	positive
* p < 0. 05, * * p < 0. 01, and * * * p < 0. 001these results indicate that clemastine treatment is capable to improve motor function recovery in rat models of sci. clemastine promotes motor conduction after spinal cord injurymotor evoked potential ( mep ) signals are transmitted along the anterior lateral cord of the spinal cord, and are more sensitive to experimental sci, consistent with motor conduction.	positive
2 time course of the effects of clemastine treatment on the latency and amplitude of meps.	negative
scale bar, 2 µmto explore whether clemastine can effectively prevent initial demyelination, transmission electron microscopy was employed to reveal the myelin status of each group on the third and seventh day of sci.	positive
to understand the effect of clemastine on mature oligodendrocytes, we identified a significant increase in cc1 + cells, a marker for mature oligodendrocytes, in the sci of clemastine - treated rats compared with vehicle - treated rats ( fig.	positive
[ n = 3 for each group ] * p < 0. 05, * * p < 0. 01, and * * * p < 0. 001 by one - way anova followed by tukey ’ s post hoc testthese results indicate that clemastine is effective in promoting opc differentiation and ol formation in rat models of sci. clemastine delays significant axonal degeneration after compressed spinal cord injury in ratsaxonal degeneration is considered one of the major mechanisms of the degeneration process and occurs in different phases of sci.	positive
the persistence of opc differentiation is particularly important to remyelination after sci [ 29 ].	negative
in addition, the results of smi32 staining showed that the proportion of axon degeneration in the clemastine treatment group was lower than in the vehicle group.	positive
ishii a fyffe - maricich sl furusho m miller rh bansal r erk1 / erk2 mapk signaling is required to increase myelin thickness independent of oligodendrocyte differentiation and initiation of myelination j neurosci 2012 32 26 8855 8864 10. 1523 / jneurosci. 0137 - 12. 2012 22745486	positive
finally, the potential combined therapeutic use of exosomes and melatonin, working together for a healthy homeostasis, will be considered. exosomes : biogenesis and biological functionthe first scientific description of exosomes dates from the 80s, when johnstone and colleagues ( 1 ) observed that sheep reticulocytes lost their transferrin receptors during the maturation process to adult red blood cells ; this occurred due to the release of small vesicles into the extracellular medium.	positive
an in - depth knowledge of the control of the synergistic effects between melatonin and exosomes offers a valuable therapeutic promise for the treatment of several diseases. exosome - melatonin therapy protects against ischemia - reperfusion injuryhepatic ischemia - reperfusion ( i / r ) injury is a major complication of liver tissue often observed during liver surgery ( e. g., liver resection, trauma, and liver transplantation ) with pro - inflammatory components and immune cells being important players.	positive
in addition, they demonstrated that exosomes isolated from vsmcs or calcified vascular smooth muscle cells ( cvsmcs ), treated with melatonin, can be absorbed by vsmcs and attenuate osteogenic differentiation and senescence of vsmcs or cvsmcs, respectively.	positive
melatonin was able to effectively promote the secretion of exosomes from adipocytes, increasing the level of exosomal αkg derived from adipose tissue.	positive
moreover, melatonin - exosome therapy could fight most of these disease processes by preventing their progression, not only their clinical manifestations.	positive
after different incubation times, the reactions were quenched by adding 5, 5 ′ - dithiobis ( 2 - nitrobenzoic acid ) ( dtnb, ellman´s reagent ) [ 39, 40 ] ( 1 : 1 ratio with respect to the initial concentration of gsh ).	negative
the effect of the mutation on the activity of the inhibitors was assessed by the visualization of the subcellular localization of the xpo1 cargo ranbp1.	negative
indeed, such ethers ( compounds 33 and 34 ) also showed xpo1 inhibition, but did not improve the inhibitory value of compound 10. 3.	negative
sccys539 is shown in yellow and labelled.	negative
ko143 alone did not significantly affect tumor growth.	negative
previous studies have shown that the induction of er stress by tak - 243 is functionally important for tak - 243 – induced cell death ( 2, 10 – 12 ). through subsequent experiments, we demonstrated that knockout of bend3 upregulates the mdr protein bcrp, resulting in increased efflux of the drug, reduced binding to uba1, and consequently reduced uba1 inhibition.	positive
( c ) gene set enrichment analysis ( gsea ) showing gene ontology ( go ) processes for genes whose grnas were significantly enriched in the ic90 arm of the screen and their corresponding false discovery rate ( fdr ) values.	positive
inset : the ic50 values ( nm ) are shown.	negative
inset : the ic50 values ( nm ) are shown.	negative
this is mainly evident in developed mediterranean countries with a long - lasting tradition on dairy sheep farming, and a well - organized sheep milk processing industry ( e. g., greece, spain, france, italy, etc.	negative
additionally, hoof conformation and hoof keratin quality are fundamental to maintain the foot health status [ 16 ], however, selective breeding for these traits has not been extensively applied.	positive
hence, foot - related lameness cannot be evaluated and prioritized on ad hoc basis and subsequently, the suggestion of lameness mitigation strategies is not possible in intensive dairy sheep farms, although an urgent need to cope with the problem is evident. to address the aforementioned research gap, the objectives of this cross - sectional study were ( i ) to investigate and describe the epizootiology of lameness - related foot diseases and lesions, and ( ii ) to assess the impact of potential risk factors on them, in intensive dairy sheep farms in greece. 2.	positive
however, the kaiser – meyer – olkin measure of sampling adequacy was low ( 0. 338 ) and bartlett ’ s test of sphericity was not significant ( p = 0. 186 ), indicating a poor performance of the pca ; thus, the extracted pcs were not used for the subsequent clustering of the farms.	positive
this is a hypothesis supported by studies in dairy cows showing that high yielding animals are more likely to develop foot lesions and lameness [ 23, 28, 29 ] ; however, this is not sufficiently evidenced in dairy sheep [ 11 ], and under the current study - design, it is not possible neither to conclude the pathophysiological mechanisms nor estimate the effect of milk yield on foot - related lameness.	positive
high prevalence of wld is not unusual.	negative
[ 30 ] reported white line lesions ( wld and wla ) as the second most significant cause of foot - related lameness in intensively reared chios sheep ( with an incidence risk of 1. 1 % and 0. 8 %, respectively ) ; however, only lame animals were included in that study.	negative
poor wool quality could be linked to a higher prevalence of hoof wall cracks, due to the fact that keratin of both wool and hoof horn have similar low - and high - sulfur protein fractions [ 67, 68, 69 ] ; however, this was not confirmed by the model applied in our study.	positive
animals usually walk on soft straw bedding material which does not favor natural wearing of the hoof.	negative
assessment of current knowledge of footrot in sheep with particular reference to dichelobacter nodosus and implications for elimination or control strategies for sheep in great britain vet.	negative
introductionthe construction of structures involving concrete underwater placement usually require additional considerations due to its unique circumstances.	positive
for 28 days strength, it also showed an increment about 10 % compared to specimen produced with fresh water but it induced corrosion on the rebars [ 9 ]. meanwhile for the placement method, the concreting process can be made using tremie pipe for mass concrete.	negative
from the underwater placement of aafa paste, there is washout effect with the increment in the surrounding water ’ s ph value.	positive
for practical application, it is suggested to use the retarding admixture to control the setting time, as it can delay the setting time and keep the aafa concrete workable throughout the placing process. 3. 3.	positive
meanwhile the content of al2o3 showed a reduction in aafa paste relative to the raw fly ash.	negative
